CommonName,ScientificName,GrowthForm,NativeStatus,GeneralDescription,NotableCharacteristics,PreferredConditions,ReproductionTiming,Lifespan,KeyRelationships
American Bluehearts,Buchnera americana,Forb (hemiparasitic),Native,2–3 ft slender wildflower with purple spikes; leaves opposite.,Facultative root hemiparasite on nearby plants (often grasses).,Full sun; moist prairies/pine savannas; sandy loams.,Bees/butterflies mid-summer; many tiny wind-dispersed seeds.,Short-lived perennial/annual-like.,Parasitizes neighbors; provides nectar to pollinators.
Eastern Columbine,Aquilegia canadensis,Forb (perennial),Native,1–3 ft with nodding red/yellow spurred flowers in spring.,Adapted to hummingbird pollination; reseeds.,"Part shade; moist, well-drained rocky woods and bluffs.",Hummingbirds/long-tongued insects; seeds ripen early summer.,Short-lived perennial; persists by self-sowing.,Early nectar for hummingbirds/bumblebees; some seed eaten by finches.
Black-eyed Susan,Rudbeckia hirta,Forb (biennial/short-lived perennial),Native,1–3 ft; yellow rays with dark cone; long summer bloom.,Early colonizer; supports many pollinators; self-sows.,Full sun; dry–mesic fields/roadsides; various soils.,Insect-pollinated late spring–summer; many small seeds in fall.,1–2 yrs typical (seed bank maintains).,Seeds for finches/sparrows; specialist bees collect pollen.
Goldenrod,"Solidago spp. (e.g., S. altissima)",Forb (perennial),Native,2–6 ft with plume-like golden inflorescences late summer–fall.,Critical late-season nectar; many insect associates; not hay fever cause.,Full sun; meadows/edges; adaptable soils.,Insect-pollinated; wind-dispersed tufted seeds; rhizomatous spread.,Perennial colonies long-lived.,Supports >100 insect spp.; seeds for finches; galls feed birds in winter.
Purple Coneflower,Echinacea purpurea,Forb (perennial),Native (regional),2–4 ft with large rose-purple rays and spiny cone; prairie species.,Long bloom; medicinal reputation; drought-tolerant.,"Full sun; well-drained, slightly dry soils; prairies/glades.",Pollinated by bees/butterflies; seeds mature late summer–fall.,Long-lived clumps; reseeds.,Nectar/pollen for pollinators; seeds for goldfinches.
Pokeweed,Phytolacca americana,Forb (robust perennial),Native,Tall herb with red stems; drooping white flowers; dark purple berry racemes.,Toxic to humans; huge wildlife fruit producer; deep taproot.,Disturbed rich soils; sun–part sun; edges/fencerows.,Insect-pollinated; fruits Aug–Sep; seeds spread by animals.,Root persists many yrs; top dies back each winter.,Fruits feed 30+ bird spp. & mammals; birds disperse seeds widely.
Butterfly Weed,Asclepias tuberosa,Forb (perennial),Native,1–2 ft with vivid orange umbels; narrow leaves; little milky sap.,Monarch host milkweed; deep tuber; drought-hardy.,"Full sun; dry, well-drained sandy/gravelly soils.",Insect-pollinated (pollinia); pods release wind-borne flossed seeds.,Long-lived where established.,Host for monarch/queen larvae; nectar for many butterflies/bees.
Indian Pink,Spigelia marilandica,Forb (perennial),Native,1–2 ft with upright red tubes flaring to yellow star; shade wildflower.,Top-tier hummingbird plant; slow rhizomatous clumps.,"Part–full shade; moist, rich woodland soils.",Hummingbird-pollinated late spring; ballistic seed dispersal.,Long-lived in suitable sites.,Nectar for hummingbirds; toxic foliage discourages herbivory.
Alabama Canebrake Pitcher Plant,Sarracenia alabamensis,Carnivorous forb,"Native (endemic, endangered)",Rosette of tubular green pitchers with red veins; nodding yellow flowers in spring.,Carnivorous; extremely restricted range in central AL seepage bogs.,"Constantly wet, acidic seeps/bogs; sun–part sun.",Insect-pollinated spring; many tiny seeds mid–late summer.,Rhizomes decades; colonies persist if habitat intact.,Preys on insects; pitcher inquilines aid digestion; pollinated by bees/flies.
Little Bluestem,Schizachyrium scoparium,Grass (bunch),Native,"2–4 ft clumping warm-season grass; blue-green summer, copper fall; fluffy seeds.",Dominant prairie grass; very drought-tolerant.,Full sun; dry–mesic well-drained soils; uplands/savannas.,Wind-pollinated late summer; seeds with hairs; tillering.,Long-lived clumps.,Seeds for finches/sparrows; host for many skipper larvae; cover for ground fauna.
Switchgrass,Panicum virgatum,Grass (rhizomatous),Native,3–6 ft warm-season grass; airy purple-tinged panicles; golden fall color.,Tolerates wetter soils; biofuel species; good winter cover.,Full sun; moist fertile loams; floodplains/meadows.,Wind-pollinated mid–late summer; small seeds fall; rhizomes expand.,Decades; persistent stands.,Cover and nesting for birds; seeds eaten by quail/sparrows; forage for grazers.
River Cane,Arundinaria gigantea,Woody grass (bamboo),Native,Evergreen bamboo 8–20 ft; dense canebrakes in bottomlands; rhizomatous.,Rare synchronous flowering; historic vast canebrakes.,Moist rich floodplains; part sun; periodic flooding.,Mostly vegetative; rare wind-pollinated mass flowering/seeding.,Clonal genets centuries; culms 5–10 yrs.,Host for pearly-eye butterflies; vital habitat for Swainson’s warbler; erosion control.
Resurrection Fern,Pleopeltis polypodioides,Fern (epiphytic),Native,"Small leathery fern carpeting tree limbs; curls brown when dry, greens rapidly after rain.",Survives extreme desiccation (~95% water loss).,Humid partial shade; on bark/rocks; moist microclimates.,Spores from sori (warm/moist seasons); rhizome spread.,Colonies decades if host persists.,Commensal on host trees; microhabitat for canopy invertebrates; minor moisture retention on bark.
